store,storeName,storeBusinessName,address,city,State,zip,storeURL,phone,proPhone,proFax,latitude,Longitude
33,Newnan Lowe's,"LOWE'S OF NEWNAN, GA",955 Bullsboro Dr,Newnan,GA,30265,http://www.lowes.com/store/GA-Newnan/0033,(770) 304-1600,(678) 416-4052,(770) 253-2754,33.39372079,-84.74735586
35,Mount Vernon Lowe's,"LOWE'S OF MOUNT VERNON, WA",1717 Freeway Dr,Mount Vernon,WA,98273,http://www.lowes.com/store/WA-Mount-Vernon/0035,(360) 424-5838,(360) 404-6019,(360) 424-6973,48.43699557,-122.344553
37,W. Columbus Lowe's,"LOWE'S OF W. COLUMBUS, OH",3600 Park Mill Run Dr,Hilliard,OH,43026,http://www.lowes.com/store/OH-Hilliard/0037,(614) 529-5900,(614) 606-9045,(614) 529-5930,40.02796531,-83.11888311
42,Dayton-trotwood Lowe's,"LOWE'S OF DAYTON-TROTWOOD, OH",5252 Salem Ave,Trotwood,OH,45426,http://www.lowes.com/store/OH-Trotwood/0042,(937) 854-8200,(937) 248-2021,(937) 837-1118,39.8198677,-84.2878297
44,Steubenville Lowe's,"LOWE'S OF STEUBENVILLE, OH",4115 Mall Dr,Steubenville,OH,43952,http://www.lowes.com/store/OH-Steubenville/0044,(740) 266-3500,(740) 275-3049,(740) 266-3525,40.37209315,-80.67171508
46,Benton Harbor Lowe's,"LOWE'S OF BENTON HARBOR, MI",1300 Mall Dr,Benton Harbor,MI,49022,http://www.lowes.com/store/MI-Benton-Harbor/0046,(269) 927-6000,(269) 757-9021,(269) 927-9070,42.07996318,-86.42613112
52,Danville Lowe's,"LOWE'S OF DANVILLE, IL",3636 North Vermillion,Danville,IL,61832,http://www.lowes.com/store/IL-Danville/0052,(217) 442-5200,(217) 431-7001,(217) 442-3630,40.18850132,-87.63109426
53,W. Fort Wayne Lowe's,"LOWE'S OF W. FORT WAYNE, IN",4430 Illinois Rd,Fort Wayne,IN,46804,http://www.lowes.com/store/IN-Fort-Wayne/0053,(260) 436-8855,(260) 435-2319,(260) 459-6146,41.07614576,-85.19969711
56,Norwalk Lowe's,"LOWE'S OF NORWALK, CA",14873 Carmenita Rd,Norwalk,CA,90650,http://www.lowes.com/store/CA-Norwalk/0056,(562) 926-0826,(562) 405-9064,(562) 926-7441,33.896063,-118.0482247
57,Burlington Lowe's,"LOWE'S OF BURLINGTON, IA",3435 Agency,Burlington,IA,52601,http://www.lowes.com/store/IA-Burlington/0057,(319) 752-3333,(319) 758-8029,(319) 752-1861,40.81244092,-91.14932619
59,De Kalb Lowe's,"LOWE'S OF DE KALB, IL",2050 Sycamore Rd,Dekalb,IL,60115,http://www.lowes.com/store/IL-Dekalb/0059,(815) 754-4800,(815) 593-9019,(815) 787-4410,41.94887414,-88.72639935
61,Smokey Point Lowe's,"LOWE'S OF SMOKEY POINT, WA",3300 169th Pl NE,Arlington,WA,98223,http://www.lowes.com/store/WA-Arlington/0061,(360) 653-7405,(360) 654-5059,(360) 653-7108,48.14980008,-122.1863364
63,Midland Lowe's,"LOWE'S OF MIDLAND, TX",3315 North Loop 250 W.,Midland,TX,79707,http://www.lowes.com/store/TX-Midland/0063,(432) 689-2828,(432) 848-0040,(432) 689-0613,32.01324328,-102.1603897
66,MT. Vernon Lowe's,"LOWE'S OF MT. VERNON, IL",111 Davidson Ave,Mount Vernon,IL,62864,http://www.lowes.com/store/IL-Mount-Vernon/0066,(618) 244-9400,(618) 316-5021,(618) 244-9237,38.310363,-88.96146668
69,Battle Creek Lowe's,"LOWE'S OF BATTLE CREEK, MI",6122 B Dr North,Battle Creek,MI,49014,http://www.lowes.com/store/MI-Battle-Creek/0069,(269) 979-5500,(269) 719-4019,(269) 979-5514,42.25941293,-85.17455881
71,Goshen Lowe's,"LOWE'S OF GOSHEN, IN",2219 Rieth Blvd,Goshen,IN,46526,http://www.lowes.com/store/IN-Goshen/0071,(574) 875-7000,(574) 875-3715,(574) 875-1749,41.61774424,-85.89532431
72,Ponca City Lowe's,"LOWE'S OF PONCA CITY, OK",3500 North 14th St,Ponca City,OK,74601,http://www.lowes.com/store/OK-Ponca-City/0072,(580) 765-1111,(580) 765-1673,(580) 763-0143,36.7470125,-97.06883855
75,Wichita Falls Lowe's,"LOWE'S OF WICHITA FALLS, TX",3301 Kell Blvd,Wichita Falls,TX,76308,http://www.lowes.com/store/TX-Wichita-Falls/0075,(940) 692-9955,(940) 447-9050,(940) 692-6498,33.88059045,-98.53766598
77,Sandusky Lowe's,"LOWE'S OF SANDUSKY, OH",5500 Milan Rd - Space 304,Sandusky,OH,44870,http://www.lowes.com/store/OH-Sandusky/0077,(419) 624-6000,(419) 627-6968,(419) 624-4483,41.40710969,-82.6597516
80,Champaign Lowe's,"LOWE'S OF CHAMPAIGN, IL",1904 North Prospect Ave,Champaign,IL,61822,http://www.lowes.com/store/IL-Champaign/0080,(217) 373-7300,(217) 560-9179,(217) 398-0963,40.1390218,-88.25544712
82,Lufkin Lowe's,"LOWE'S OF LUFKIN, TX",3501 South Medford,Lufkin,TX,75901,http://www.lowes.com/store/TX-Lufkin/0082,(936) 632-8333,(936) 633-1919,(936) 632-8387,31.31395048,-94.7108941
86,Virginia Beach Lowe's,"LOWE'S OF VIRGINIA BEACH, VA",3565 Holland Rd,Virginia Beach,VA,23452,http://www.lowes.com/store/VA-Virginia-Beach/0086,(757) 631-2100,(757) 448-6521,(757) 631-0197,36.81092949,-76.09680463
88,Adrian Lowe's,"LOWE'S OF ADRIAN, MI",1369 Division St,Adrian,MI,49221,http://www.lowes.com/store/MI-Adrian/0088,(517) 266-1000,(517) 266-4639,(517) 266-1302,41.87609838,-84.03135875
89,Beavercreek Lowe's,"LOWE'S OF BEAVERCREEK, OH",2850-I Centre Dr,Fairborn,OH,45324,http://www.lowes.com/store/OH-Fairborn/0089,(937) 427-1110,(937) 306-3019,(937) 427-6433,39.77373712,-84.04783954
90,San Angelo Lowe's,"LOWE'S OF SAN ANGELO, TX",5301 Sherwood Way,San Angelo,TX,76904,http://www.lowes.com/store/TX-San-Angelo/0090,(325) 942-3100,(325) 315-9093,(325) 944-8588,31.42794176,-100.5074125
91,Corinth Lowe's,"LOWE'S OF CORINTH, MS",1800 South Pkwy,Corinth,MS,38834,http://www.lowes.com/store/MS-Corinth/0091,(662) 287-9000,(622) 603-0021,(662) 665-9337,34.91449932,-88.50733723
92,Galesburg Lowe's,"LOWE'S OF GALESBURG, IL",531 West Carl Sandburg Dr,Galesburg,IL,61401,http://www.lowes.com/store/IL-Galesburg/0092,(309) 342-4488,(309) 345-2025,(309) 342-4586,40.97671155,-90.37863274
95,Beaumont Lowe's,"LOWE'S OF BEAUMONT, TX",4120 Dowlen Rd,Beaumont,TX,77706,http://www.lowes.com/store/TX-Beaumont/0095,(409) 898-2200,(409) 898-6428,(409) 898-4944,30.1190383,-94.16478977
97,Baytown Lowe's,"LOWE'S OF BAYTOWN, TX",5002 Garth Rd,Baytown,TX,77521,http://www.lowes.com/store/TX-Baytown/0097,(281) 421-1055,(281) 421-3189,(281) 421-3174,29.77951171,-94.97614646
98,Katy Lowe's,"LOWE'S OF KATY, TX",19935 Katy Freeway,Houston,TX,77094,http://www.lowes.com/store/TX-Houston/0098,(281) 492-7980,(281) 492-3210,(281) 492-6207,29.78331476,-95.71389353
102,Aurora Lowe's,"LOWE'S OF AURORA, CO",1701 South Havana St,Aurora,CO,80012,http://www.lowes.com/store/CO-Aurora/0102,(303) 369-4222,(303) 369-5791,(303) 369-4004,39.68446925,-104.8674452
103,Bryan Lowe's,"LOWE'S OF BRYAN, TX",3225 Freedom Blvd,Bryan,TX,77802,http://www.lowes.com/store/TX-Bryan/0103,(979) 774-4141,(979) 774-8319,(979) 774-9653,30.65839255,-96.32671156
104,Moline Lowe's,"LOWE'S OF MOLINE, IL",3820 44th Ave Dr,Moline,IL,61265,http://www.lowes.com/store/IL-Moline/0104,(309) 736-1100,(309) 757-3768,(309) 736-1811,41.46926644,-90.48348537
107,Davenport Lowe's,"LOWE'S OF DAVENPORT, IA",3955 Elmore Ave,Davenport,IA,52807,http://www.lowes.com/store/IA-Davenport/0107,(563) 344-9000,(563) 344-5479,(563) 355-1177,41.56149211,-90.52480627
110,ST. Clairsville Lowe's,"LOWE'S OF ST. CLAIRSVILLE, OH",50421 Valley Plaza Dr,Saint Clairsville,OH,43950,http://www.lowes.com/store/OH-Saint-Clairsville/0110,(740) 699-3000,(740) 296-2021,(740) 699-3024,40.07238821,-80.87832219
113,Midlothian Lowe's,"LOWE'S OF MIDLOTHIAN, VA",1512 West Koger Center Dr,Richmond,VA,23235,http://www.lowes.com/store/VA-Richmond/0113,(804) 379-8500,(804) 893-9028,(804) 379-3025,37.51451057,-77.60898754
116,Muncie Lowe's,"LOWE'S OF MUNCIE, IN",4401 West Clara Ln,Muncie,IN,47304,http://www.lowes.com/store/IN-Muncie/0116,(765) 287-1606,(765) 372-3021,(765) 287-0353,40.21736028,-85.43829874
117,Dubuque Lowe's,"LOWE'S OF DUBUQUE, IA",4100 Dodge St,Dubuque,IA,52003,http://www.lowes.com/store/IA-Dubuque/0117,(563) 588-8008,(563) 557-3759,(563) 588-9954,42.48813292,-90.73260348
118,Kankakee Lowe's,"LOWE'S OF KANKAKEE, IL",860 Kinzie Ave,Bradley,IL,60915,http://www.lowes.com/store/IL-Bradley/0118,(815) 933-5555,(815) 214-6049,(815) 933-9799,41.15932343,-87.84777885
119,Waipahu Lowe's,"LOWE'S OF WAIPAHU, HI",94-805 Lumiaina St,Waipahu,HI,96797,http://www.lowes.com/store/HI-Waipahu/0119,(808) 676-8381,(808) 676-3312,(808) 676-2402,21.39882738,-158.0084224
120,Belle Vernon Lowe's,"LOWE'S OF BELLE VERNON, PA",203 Sarah Way,Belle Vernon,PA,15012,http://www.lowes.com/store/PA-Belle-Vernon/0120,(724) 930-7000,(724) 247-8021,(724) 930-8502,40.13748507,-79.8490594
124,Muskogee Lowe's,"LOWE'S OF MUSKOGEE, OK",2901 Old Shawnee,Muskogee,OK,74403,http://www.lowes.com/store/OK-Muskogee/0124,(918) 686-8800,(918) 577-9021,(918) 682-3696,35.76808003,-95.33029882
126,E. Fort Wayne Lowe's,"LOWE'S OF E. FORT WAYNE, IN",1929 North Coliseum Blvd,Fort Wayne,IN,46805,http://www.lowes.com/store/IN-Fort-Wayne/0126,(260) 471-4000,(260) 481-4236,(260) 471-7669,41.09554646,-85.09022641
127,Sherman Lowe's,"LOWE'S OF SHERMAN, TX",2801 U.S. Highway 75 North,Sherman,TX,75090,http://www.lowes.com/store/TX-Sherman/0127,(903) 892-8181,(903) 868-8778,(903) 813-1011,33.66819763,-96.60753289
129,Waco Lowe's,"LOWE'S OF WACO, TX",201 North New Rd,Waco,TX,76710,http://www.lowes.com/store/TX-Waco/0129,(254) 776-9300,(254) 224-0211,(254) 776-3651,31.52463694,-97.16899084
137,Lake Jackson Lowe's,"LOWE'S OF LAKE JACKSON, TX",200 Highway 332 East,Lake Jackson,TX,77566,http://www.lowes.com/store/TX-Lake-Jackson/0137,(979) 297-9999,(979) 299-3568,(979) 285-9053,29.04194926,-95.45616764
138,Abilene Lowe's,"LOWE'S OF ABILENE, TX",4134 Ridgemont Dr,Abilene,TX,79606,http://www.lowes.com/store/TX-Abilene/0138,(325) 692-2727,(325) 733-9044,(325) 692-6791,32.40200428,-99.76623937
139,Hermitage Lowe's,"LOWE'S OF HERMITAGE, PA",3000 Glimcher Blvd,Hermitage,PA,16148,http://www.lowes.com/store/PA-Hermitage/0139,(724) 983-5360,(724) 308-4021,(724) 983-5379,41.23007232,-80.45198021
140,Issaquah Lowe's,"LOWE'S OF ISSAQUAH, WA",1625 11th Ave N.W.,Issaquah,WA,98027,http://www.lowes.com/store/WA-Issaquah/0140,(425) 391-3355,(425) 416-1019,(425) 313-9583,47.54938152,-122.0560085
145,N.W. Indianapolis Lowe's,"LOWE'S OF N.W. INDIANAPOLIS, IN",8440 Michigan Rd,Indianapolis,IN,46268,http://www.lowes.com/store/IN-Indianapolis/0145,(317) 875-7500,(317) 405-2169,(317) 228-2225,39.90860847,-86.22287363
146,Jackson Lowe's,"LOWE'S OF JACKSON, MI",1535 Boardman Rd,Jackson,MI,49202,http://www.lowes.com/store/MI-Jackson/0146,(517) 796-5500,(517) 392-9913,(517) 796-5525,42.26810175,-84.43624638
149,Everett Lowe's,"LOWE'S OF EVERETT, WA",2505 Pacific Ave,Everett,WA,98201,http://www.lowes.com/store/WA-Everett/0149,(425) 259-2017,(425) 320-9024,(425) 252-0425,47.97756187,-122.1973104
152,Wenatchee Lowe's,"LOWE'S OF WENATCHEE, WA",1200 Walla Walla Ave,Wenatchee,WA,98801,http://www.lowes.com/store/WA-Wenatchee/0152,(509) 663-4530,(509) 665-9381,(509) 665-7605,47.44052537,-120.3197909
159,San Marcos Lowe's,"LOWE'S OF SAN MARCOS, TX",2211 South Interstate 35,San Marcos,TX,78666,http://www.lowes.com/store/TX-San-Marcos/0159,(512) 393-3111,(512) 393-2969,(512) 393-3130,29.85446498,-97.95193938
165,Butler Lowe's,"LOWE'S OF BUTLER, PA",500 Moraine Point Plaza,Butler,PA,16001,http://www.lowes.com/store/PA-Butler/0165,(724) 285-4000,(724) 234-6021,(724) 285-2894,40.87159856,-79.94973955
167,Peoria Lowe's,"LOWE'S OF PEORIA, IL",5001 North Big Hollow Rd,Peoria,IL,61615,http://www.lowes.com/store/IL-Peoria/0167,(309) 692-1900,(309) 229-2073,(309) 692-0810,40.74824786,-89.63831374
168,Hamilton Lowe's,"LOWE'S OF HAMILTON, OH",1495 Main St,Hamilton,OH,45013,http://www.lowes.com/store/OH-Hamilton/0168,(513) 737-3700,(513) 714-1173,(513) 737-9175,39.42432948,-84.59879752
172,Spokane Valley Lowe's,"LOWE'S OF SPOKANE VALLEY, WA",E. 5204 Sprague Ave,Spokane,WA,99212,http://www.lowes.com/store/WA-Spokane/0172,(509) 533-0066,(509) 533-9569,(509) 533-9715,47.65628983,-117.3346727
174,Texarkana Lowe's,"LOWE'S OF TEXARKANA, TX",501 Walton Dr,Texarkana,TX,75501,http://www.lowes.com/store/TX-Texarkana/0174,(903) 831-5700,(903) 838-1919,(903) 832-4155,33.4477839,-94.10048805
175,Johnstown Lowe's,"LOWE'S OF JOHNSTOWN, PA",630 Solomon Run Rd,Johnstown,PA,15904,http://www.lowes.com/store/PA-Johnstown/0175,(814) 535-1212,(814) 248-7421,(814) 536-3609,40.30671866,-78.83053325
177,Statesboro Lowe's,"LOWE'S OF STATESBORO, GA",24065 Hwy 80 East,Statesboro,GA,30461,http://www.lowes.com/store/GA-Statesboro/0177,(912) 489-1000,(912) 212-2219,(912) 489-8765,32.43114358,-81.75506101
178,Orem Lowe's,"LOWE'S OF OREM, UT",140 West University Pkwy,Orem,UT,84058,http://www.lowes.com/store/UT-Orem/0178,(801) 229-1485,(801) 851-9940,(801) 229-1507,40.27430424,-111.6987608
179,Lake City Lowe's,"LOWE'S OF LAKE CITY, FL",3463 N.W. Bascom Norris Dr,Lake City,FL,32055,http://www.lowes.com/store/FL-Lake-City/0179,(386) 719-6622,(386) 269-5021,(386) 719-2058,30.18314522,-82.67418813
180,Greensburg Lowe's,"LOWE'S OF GREENSBURG, PA","Hempfield Square, Rt. 30 W.",Greensburg,PA,15601,http://www.lowes.com/store/PA-Greensburg/0180,(724) 853-6950,(724) 205-7019,(724) 853-6963,40.30408018,-79.59745424
181,S.W. Columbus Lowe's,"LOWE'S OF S.W. COLUMBUS, OH",1675 Georgesville Square Dr,Columbus,OH,43228,http://www.lowes.com/store/OH-Columbus/0181,(614) 853-6200,(614) 385-9029,(614) 853-6226,39.91846313,-83.11882861
183,Denton Lowe's,"LOWE'S OF DENTON, TX",1255 South Loop 288,Denton,TX,76205,http://www.lowes.com/store/TX-Denton/0183,(940) 320-1938,(940) 898-9789,(940) 320-1853,33.19685191,-97.09013595
186,S. Baton Rouge Lowe's,"LOWE'S OF S. BATON ROUGE, LA",10303 South Mall Dr,Baton Rouge,LA,70809,http://www.lowes.com/store/LA-Baton-Rouge/0186,(225) 291-5100,(225) 615-3190,(225) 291-4082,30.37614906,-91.06568099
187,Uniontown Lowe's,"LOWE'S OF UNIONTOWN, PA",79 Matthew Dr,Uniontown,PA,15401,http://www.lowes.com/store/PA-Uniontown/0187,(724) 430-1800,(724) 415-4021,(724) 430-0106,39.9048844,-79.75075825
188,Boardman Lowe's,"LOWE'S OF BOARDMAN, OH",1100 Doral Dr,Youngstown,OH,44514,http://www.lowes.com/store/OH-Youngstown/0188,(330) 965-4500,(330) 314-1138,(330) 965-4519,41.03125937,-80.63325057
190,Cartersville Lowe's,"LOWE'S OF CARTERSVILLE, GA",301 Marketplace Blvd,Cartersville,GA,30120,http://www.lowes.com/store/GA-Cartersville/0190,(770) 382-9500,(678) 792-1019,(770) 607-1623,34.20012967,-84.78945121
191,Rockford Lowe's,"LOWE'S OF ROCKFORD, IL",7130 East State Rd,Rockford,IL,61108,http://www.lowes.com/store/IL-Rockford/0191,(815) 394-1300,(815) 721-8051,(815) 399-6384,42.27069874,-88.9779835
195,Michigan City Lowe's,"LOWE'S OF MICHIGAN CITY, IN",5200 Franklin St,Michigan City,IN,46360,http://www.lowes.com/store/IN-Michigan-City/0195,(219) 872-2900,(219) 872-5666,(219) 872-6346,41.67271583,-86.8905762
197,Indiana Lowe's,"LOWE'S OF INDIANA, PA",475 Ben Franklin Rd South,Indiana,PA,15701,http://www.lowes.com/store/PA-Indiana/0197,(724) 463-6600,(724) 464-6021,(724) 463-9306,40.61472063,-79.189807
199,Muskegon Lowe's,"LOWE'S OF MUSKEGON, MI",2035 East Sherman Blvd,Muskegon,MI,49444,http://www.lowes.com/store/MI-Muskegon/0199,(231) 739-1100,(231) 672-9021,(231) 739-9510,43.20278647,-86.19444265
200,Mishawaka Lowe's,"LOWE'S OF MISHAWAKA, IN",4660 North Grape Rd,Mishawaka,IN,46545,http://www.lowes.com/store/IN-Mishawaka/0200,(574) 272-0900,(574) 271-8441,(574) 272-2235,41.70276998,-86.18508313
202,Vestal Lowe's,"LOWE'S OF VESTAL, NY",225 Sycamore Rd,Vestal,NY,13850,http://www.lowes.com/store/NY-Vestal/0202,(607) 770-9800,(607) 338-5030,(607) 770-6916,42.09856263,-76.00473132
203,Dayton Mall Lowe's,"LOWE'S OF DAYTON MALL, OH",2900 Martin's Dr,West Carrollton,OH,45449,http://www.lowes.com/store/OH-West-Carrollton/0203,(937) 438-4900,(937) 242-4155,(937) 438-4914,39.64093911,-84.22258292
205,Enid Lowe's,"LOWE'S OF ENID, OK",5201 West Garriott,Enid,OK,73703,http://www.lowes.com/store/OK-Enid/0205,(580) 242-3000,(580) 242-3059,(580) 242-3015,36.38925926,-97.94231805
207,Wilmington Pike Lowe's,"LOWE'S OF WILMINGTON PIKE, OH",6300 Wilmington Pike,Centerville,OH,45459,http://www.lowes.com/store/OH-Centerville/0207,(937) 848-5600,(937) 310-4021,(937) 848-5614,39.64484865,-84.10835025
208,La Quinta Lowe's,"LOWE'S OF LA QUINTA, CA",78-865 Highway 111,La Quinta,CA,92253,http://www.lowes.com/store/CA-La-Quinta/0208,(760) 771-5566,(760) 771-4907,(760) 771-3311,33.71028147,-116.2916219
209,Killeen Lowe's,"LOWE'S OF KILLEEN, TX",2801 South W.S. Young Dr,Killeen,TX,76542,http://www.lowes.com/store/TX-Killeen/0209,(254) 526-8110,(254) 415-6019,(254) 526-8689,31.08763031,-97.72187198
210,Zanesville Lowe's,"LOWE'S OF ZANESVILLE, OH",3755 Frazeysburg Rd,Zanesville,OH,43701,http://www.lowes.com/store/OH-Zanesville/0210,(740) 450-5500,(740) 617-3019,(740) 450-5330,39.99132184,-82.0285369
211,Marion Lowe's,"LOWE'S OF MARION, IN",2842 South Western Ave,Marion,IN,46953,http://www.lowes.com/store/IN-Marion/0211,(765) 668-4000,(765) 293-3021,(765) 668-4844,40.53524019,-85.67626507
212,Mobile Lowe's,"LOWE'S OF MOBILE, AL",151 East I-65 Service Rd South,Mobile,AL,36606,http://www.lowes.com/store/AL-Mobile/0212,(251) 473-1880,(251) 473-9908,(251) 478-1379,30.68157613,-88.12559824
215,Terre Haute Lowe's,"LOWE'S OF TERRE HAUTE, IN",4701 South U.S. Highway 41,Terre Haute,IN,47802,http://www.lowes.com/store/IN-Terre-Haute/0215,(812) 299-0202,(812) 543-9040,(812) 299-3615,39.40805199,-87.41233949
220,Louisville Lowe's,"LOWE'S OF LOUISVILLE, CO",1171 Dillon Rd,Louisville,CO,80027,http://www.lowes.com/store/CO-Louisville/0220,(303) 665-1335,(303) 531-1087,(303) 665-5315,39.96339524,-105.1665412
221,Temple Lowe's,"LOWE'S OF TEMPLE, TX",605 SW H.K. Dodgen Loop,Temple,TX,76502,http://www.lowes.com/store/TX-Temple/0221,(254) 778-2090,(254) 239-2021,(254) 778-0094,31.07011491,-97.36174134
222,Canton Lowe's,"LOWE'S OF CANTON, OH","6375 Strip Avenue, N.W.",North Canton,OH,44720,http://www.lowes.com/store/OH-North-Canton/0222,(330) 497-2720,(330) 492-0023,(330) 497-4058,40.87349778,-81.43464723
223,Gaithersburg Lowe's,"LOWE'S OF GAITHERSBURG, MD",40 Market St,Gaithersburg,MD,20878,http://www.lowes.com/store/MD-Gaithersburg/0223,(301) 208-0400,(301) 820-1061,(301) 208-6906,39.12496364,-77.23580103
224,Elyria Lowe's,"LOWE'S OF ELYRIA, OH",646 Midway Blvd,Elyria,OH,44035,http://www.lowes.com/store/OH-Elyria/0224,(440) 324-5004,(440) 324-0719,(440) 324-4361,41.39761549,-82.11831717
226,Erie Lowe's,"LOWE'S OF ERIE, PA",1930 Keystone Dr Suite 2,Erie,PA,16509,http://www.lowes.com/store/PA-Erie/0226,(814) 864-2800,(814) 217-5331,(814) 866-1470,42.05754118,-80.08596557
231,Defiance Lowe's,"LOWE'S OF DEFIANCE, OH",1831 North Clinton St,Defiance,OH,43512,http://www.lowes.com/store/OH-Defiance/0231,(419) 782-9000,(419) 783-9419,(419) 782-1838,41.30656891,-84.35740861
232,Conroe Lowe's,"LOWE'S OF CONROE, TX",1920 Westview Blvd,Conroe,TX,77304,http://www.lowes.com/store/TX-Conroe/0232,(936) 760-1500,(936) 442-5119,(936) 760-1865,30.32747696,-95.48026354
235,Russellville Lowe's,"LOWE'S OF RUSSELLVILLE, AR",3011 Pkwy East,Russellville,AR,72802,http://www.lowes.com/store/AR-Russellville/0235,(479) 890-3018,(479) 890-7353,(479) 967-4306,35.28333773,-93.0967059
236,Conway Lowe's,"LOWE'S OF CONWAY, AR",1325 Highway 64 West,Conway,AR,72032,http://www.lowes.com/store/AR-Conway/0236,(501) 513-3300,(501) 339-2021,(501) 513-0602,35.1094764,-92.44316034
240,Vero Beach Lowe's,"LOWE'S OF VERO BEACH, FL",6110 20th St,Vero Beach,FL,32966,http://www.lowes.com/store/FL-Vero-Beach/0240,(772) 564-6955,(772) 564-6939,(772) 564-6930,27.64081575,-80.45173762
241,Stillwater Lowe's,"LOWE'S OF STILLWATER, OK",1616 North Perkins Rd,Stillwater,OK,74075,http://www.lowes.com/store/OK-Stillwater/0241,(405) 377-3000,(405) 564-2021,(405) 377-4206,36.13899848,-97.05312249
242,Scranton Lowe's,"LOWE'S OF SCRANTON, PA",901 Viewmont Dr,Dickson City,PA,18519,http://www.lowes.com/store/PA-Dickson-City/0242,(570) 344-9200,(570) 906-2522,(570) 341-1089,41.45345151,-75.6427583
243,S. Tulsa Lowe's,"LOWE'S OF S. TULSA, OK","10156 East 71st Street, South",Tulsa,OK,74133,http://www.lowes.com/store/OK-Tulsa/0243,(918) 459-9922,(918) 615-1509,(918) 459-9420,36.05907649,-95.86283241
244,Trumbull County Lowe's,"LOWE'S OF TRUMBULL COUNTY, OH",940 Niles Cortland Rd,Warren,OH,44484,http://www.lowes.com/store/OH-Warren/0244,(330) 609-8000,(330) 856-8385,(330) 609-8537,41.2280743,-80.74238909
